URL,DSLD ID,Product Name,Company Name,Address,City,State,ZIP,Country,Manufacturer,Distributor,Packager,Reseller,Other
https://dsld.od.nih.gov/label/278891,278891,Milk Thistle,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278892,278892,Quince,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278893,278893,Reishi Mushroom,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278894,278894,He Shou Wu,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278895,278895,Celery Seed,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278896,278896,Hibiscus Flower,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278897,278897,Grape Seed,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278898,278898,Kudzu,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278899,278899,St. John's Wort,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278900,278900,Olive Leaf,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278901,278901,Maca,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278902,278902,Sutherlandia,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278903,278903,Bitter Orange,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278904,278904,Chlorella,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278905,278905,Wintergreen Oil,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278906,278906,Tart Cherries,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
https://dsld.od.nih.gov/label/278907,278907,Hoodia,Pure Herbs Ltd.,,Sterling Heights,MI,,,yes,no,no,no,no
